"Asheville"	"NC"	0.0021785372	Blinded Carrier	0	0	0	0	0.2544336712	0.4122985824	0.3332677464	0	0	0	0	0	0.2868973636	0.385610206	0.4589496621	0.3849360104	1.0358394895	0.2868973636	0.385610206	0.4366781472	0.3775136328	1.0336259902	0.2772425407	0.3753280885	0.3944977986	0.3607662952	1.0542731628	5812.2979336	3.2022010053	0.6516316214	0.3817528848
"Asheville"	"NC"	0.0021785372	Market Total ($) or Average (%)	158126	373257	263697	795080	0.2544336712	0.4122985824	0.3332677464	0.9741535275	0.9693073908	0.9234911731	0.9552713435	0.9529861879	0.3023509248	0.3887365984	0.4629375778	0.3914859675	1.0248085978	0.3023509248	0.3887365984	0.4400124716	0.383845769	1.0231116064	0.2977766699	0.3810854724	0.4171413735	0.3732597931	1.0336679297	4723.3138586	4.0237751156	0.6208691778	0.3839649822
"Atlanta-Sandy Springs-Roswell"	"GA"	0.0153384926	BCBS-ALT01	287164	586109	394002	1267275	0.2544336712	0.4122985824	0.3332677464	0.9979916118	0.9528132987	0.937492037	0.9592021004	0.9573991815	0.5415582825	0.6576410914	0.5018245934	0.576177103	1	0.5415582825	0.6576410914	0.4397871129	0.5555020117	1	0.540800861	0.6362235665	0.4229594398	0.5397837029	1	3792.034209	4.204958067	0.8011367797	0.6409357664
"Atlanta-Sandy Springs-Roswell"	"GA"	0.0153384926	BCBS-PPO01	121196	278677	193368	593241	0.2544336712	0.4122985824	0.3332677464	0.9944538104	0.9543876607	0.9662679403	0.9685411523	0.9652920119	0.4832068254	0.5731768868	0.4844590268	0.5207186725	1.1308528418	0.4832068254	0.5731768868	0.4178061283	0.4985054112	1.128226903	0.4810216527	0.5563652548	0.4098542172	0.488083001	1.1123400066	4421.2942079	4.1043969111	0.6857552568	0.5488864215
"Atlanta-Sandy Springs-Roswell"	"GA"	0.0153384926	Blinded Carrier	0	0	0	0	0.2544336712	0.4122985824	0.3332677464	0	0	0	0	0	0.554989273	0.6449327355	0.4944964405	0.5719125251	1.0100621696	0.554989273	0.6449327355	0.4322789205	0.5511774325	1.0097291312	0.5444352266	0.613733825	0.4121215759	0.5266615337	1.0285130477	4047.7831349	3.5692811123	0.6689729673	0.6357832532
"Atlanta-Sandy Springs-Roswell"	"GA"	0.0153384926	Blinded Carrier	0	0	0	0	0.2544336712	0.4122985824	0.3332677464	0	0	0	0	0	0.5314115582	0.5963648734	0.4821657173	0.5417796676	1.0811599272	0.5314115582	0.5963648734	0.4267124479	0.5232988815	1.0724483149	0.5279872502	0.5607433059	0.405017567	0.4995686724	1.0873828908	3771.8297125	4.1561750986	0.7394118673	0.537790786
"Atlanta-Sandy Springs-Roswell"	"GA"	0.0153384926	Blinded Carrier	0	0	0	0	0.2544336712	0.4122985824	0.3332677464	0	0	0	0	0	0.507749289	0.614678461	0.4769653152	0.5415767295	1.0816387548	0.507749289	0.614678461	0.4105096822	0.5194292104	1.0811540259	0.5075307762	0.6144922006	0.409961202	0.519057236	1.04503636	4078.8538588	4.2870524165	0.615806673	0.5932722791
"Atlanta-Sandy Springs-Roswell"	"GA"	0.0153384926	Blinded Carrier	0	0	0	0	0.2544336712	0.4122985824	0.3332677464	0	0	0	0	0	0.4256213315	0.5563227411	0.4455839425	0.4861622318	1.2123879381	0.4256213315	0.5563227411	0.3852925622	0.4660690593	1.2011999035	0.42539129	0.530034385	0.3259234449	0.42594173	1.2473662353	3144.0526357	4.5810594717	0.6689734825	0.5304527808
"Atlanta-Sandy Springs-Roswell"	"GA"	0.0153384926	Blinded Carrier	0	0	0	0	0.2544336712	0.4122985824	0.3332677464	0	0	0	0	0	0.5069256391	0.6568742491	0.4799355623	0.5597543164	1.0387491728	0.5069256391	0.6568742491	0.4129294968	0.5374233559	1.0406720756	0.5046392833	0.6364467443	0.3831290688	0.5155697982	1.0526141835	3965.1981164	4.3497079183	0.7544295785	0.6063495153
"Atlanta-Sandy Springs-Roswell"	"GA"	0.0153384926	Blinded Carrier	0	0	0	0	0.2544336712	0.4122985824	0.3332677464	0	0	0	0	0	0.5500146637	0.6435709108	0.5064492349	0.5740688195	1.0049744447	0.5500146637	0.6435709108	0.4384704298	0.5514136763	1.0091976466	0.5298664683	0.6103027224	0.4124850516	0.5220637244	1.0385035875	3533.4664468	3.6707867484	0.7647202774	0.6286560442
